,SKU,price,note,category,brand,platform
54,PAKET BICARA SEMUA OPERATOR 30HARI PLUS,140750,,Paket Data,Telkomsel,mitra bukalapak
55,Paket Telpon (4.700-10.200 Menit On Net + 200 Menit Off Net) 30 Hari,148000,,Paket Data,Telkomsel,mitra bukalapak
56,"Kuota MaxStream 30GB + 10GB All network, 30 hari",158200,,Paket Data,Telkomsel,mitra bukalapak
57,"Internet Bulanan 25GB, 30 Hari",149500,,Paket Data,Telkomsel,mitra bukalapak
58,PAKET INTERNET BULANAN OMG! 160K,165750,,Paket Data,Telkomsel,mitra bukalapak
62,Internet RoaMAX Hongkong,192500,,Paket Data,Telkomsel,mitra bukalapak
63,"Internet Bulanan 75GB, 30 Hari",199500,,Paket Data,Telkomsel,mitra bukalapak
64,PAKET INTERNET BULANAN OMG! 210K,217025,,Paket Data,Telkomsel,mitra bukalapak
65,"Internet Bulanan 100GB, 30 Hari",249500,,Paket Data,Telkomsel,mitra bukalapak
66,"Internet Bulanan 200 GB*, 30 Hari",449500,,Paket Data,Telkomsel,mitra bukalapak
67,Combo RoaMAX Western,498000,,Paket Data,Telkomsel,mitra bukalapak
68,Combo RoaMAX Continent,698000,,Paket Data,Telkomsel,mitra bukalapak
73,"Telkomsel Data Flash 500MB, 15Hr",16980,,Paket Data,Telkomsel,mitra bukalapak
0,"Paket Blue 1GB, 2hr",4790,Kuota Utama 1 GB Masa Aktif 2 hari,Paket Data,Xl,mitra bukalapak
1,"Paket Blue 3GB, 2hr",9500,Kuota Utama 3 GB Masa Aktif 2 hari,Paket Data,Xl,mitra bukalapak
2,"Xtra Hotrod Special S, 7hr",13250,,Paket Data,Xl,mitra bukalapak
3,"XTRA Combo 5GB+10GB, Double Youtube, 30hr",56400,"5GB Kuota Utama + 10GB Kuota Youtube (00:24 - 24:00) + Unlimited Kuota Youtube (01:00 - 06:00) + 20 Menit Nelpon ke Semua Operator. Masa aktif 30 hari, sisa kuota (Max. 1GB) dapat digunakan di bulan berikutnya.",Paket Data,Xl,mitra bukalapak
4,"Akrab S, 2 Anggota, 30hr",59400,10GB Kuota Bersama + Bonus Kuota Pribadi hingga 9GB per Anggota + Unlimited Kuota Aplikasi + Unlimited Nelpon &amp; SMS ke XL/AXIS. Cek Kuota Pribadi di areamu xl.co.id/akrab,Paket Data,Xl,mitra bukalapak
