variable,"(0.85, 1.0]","(0.44, 0.85]","(0.22, 0.44]","(0.13, 0.22]","(0.08, 0.13]","(0.05, 0.08]","(0.03, 0.05]","(0.02, 0.03]","(0.01, 0.02]","(-0.001, 0.01]"
LM3_core_count,0.7492426003041925,0.6373361723678326,0.19790161234141715,0.033709081474381605,0.00675012242611724,0.0015312963518502247,0.0007862689363967528,0.0002128854717286436,0.0,0.0
LM3_core_tpv,1.8042869567871094,1.5235447883605957,0.4595324695110321,0.06996425241231918,0.014258180744946003,0.0028794717509299517,0.0017088759923353791,0.0005262418417260051,0.0,0.0
LM3_ppob_count,0.6512584167722585,0.4580837431404932,0.29594312768615677,0.15479101824940084,0.0840615993289862,0.03588101228553408,0.024249640359602805,0.016837605633437436,0.007317511142193411,0.0047292535091443405
LM3_ppob_tpv,0.8416150808334351,0.5989015102386475,0.37753912806510925,0.19798746705055237,0.10569902509450912,0.044843435287475586,0.030141238123178482,0.02004428766667843,0.008920799009501934,0.005531329661607742
LM3_qris_count,0.019128243364211723,0.01959211736650723,0.036319835564058725,0.022362156886878454,0.010863316435257344,0.006730719553974836,0.005254438297760641,0.005323113456656909,0.004077002545027556,0.0013414993803081742
LM3_qris_tpv,0.03991027548909187,0.0367385670542717,0.060004670172929764,0.03739769756793976,0.017880570143461227,0.009774335660040379,0.0072674802504479885,0.006700050551444292,0.005250112619251013,0.0016904379008337855
age_on_accounting_days,621.3120805369127,571.2689380019949,610.599935951323,507.5582190548177,525.53201095975,400.1430446194226,492.46435675792975,570.1344417460614,426.9568657563516,540.7844748858447
age_on_core_days,392.3748451053284,288.96048954418427,210.54038925249742,112.82770024271845,36.73429896046304,10.978201993110883,5.235484894419572,2.676131117266851,0.7097243339723673,0.2037157712305026
age_on_ncore_days,93.80545229244115,76.49025087533327,111.64479274313928,82.96553398058252,30.059031877213695,13.414241013909706,6.001410089188141,2.10485918744229,0.9936206782574205,0.4318890814558059
core_before_shutdown_flag,0.161090458488228,0.2562397610099258,0.14838098518773682,0.05649271844660194,0.016154577130186885,0.008124950698114695,0.004159763105016393,0.0024238227146814403,0.0007602300522244992,2.7729636048526865e-05
count_trf,0.0622338205575943,0.06589023768901825,0.019052447751164436,0.0016405901405960321,0.00030568873626179993,0.0,0.0,0.0,0.0,0.0
est_daily_customer,0.3816949725151062,0.6025795936584473,0.17371957004070282,0.018085189163684845,0.0031164810061454773,0.0008717890013940632,0.00020176914404146373,0.0,0.0,0.0
lm_Utang_cnt,0.008476070560082266,0.1361405165617529,0.5172039332923005,0.47685902306833267,0.4359812806344963,0.47511409318358155,0.7826888969216472,0.9751783580874308,0.6760964681248263,0.9553037772004765
lm_transaxi_cnt,0.015907097374719233,0.09873835299341363,0.4596727530714968,0.4491108587710012,0.5180049886923284,0.8129052430938339,0.7937594771657166,0.7427078312969073,0.40057912277399876,0.23240175790144071
m0_Utang_cnt,0.002202817881963701,0.04906018776941362,0.19625596441146856,0.18015303310440217,0.15403365965552515,0.16077841542023974,0.25537513126893985,0.33452128686226407,0.22233332687245358,0.31827459280299375
m0_transaxi_cnt,0.0048623064048783195,0.030711423317172876,0.16312585799669493,0.1498901032722728,0.16327100549168042,0.2186956006767227,0.29772120897357235,0.2825327404266776,0.1458312938807352,0.07417114223578569
m2_Utang_cnt,0.018737706764605747,0.17059827996735283,0.6381333317986017,0.5986856636218875,0.5561130482957823,0.6143985603293094,1.0121377548960468,1.2405618189504295,0.8657011230061769,1.2225253654173451
m2_transaxi_cnt,0.027353455894738393,0.13850071984294765,0.5954508940677421,0.6181715149282921,0.705244699439449,1.0647221093057826,1.0515007171993407,0.9680668650957263,0.5379416403617654,0.32638334180020784
m3_Utang_cnt,0.027027670846782276,0.19164337340586707,0.7098569898669477,0.6664493753491373,0.6288067203448774,0.6899506142921101,1.1384292166899141,1.3919446226217704,0.9852927789618242,1.3537576526707131
m3_transaxi_cnt,0.03931295903121925,0.16326364903942356,0.6683894490563177,0.6978807385208019,0.8006557236936331,1.1753630787368834,1.226922327918941,1.1065773152943197,0.6236297519771222,0.3910999510672172
ppob_before_shutdown_flag,0.20198265179677818,0.22970672320195304,0.15274428751865887,0.09523665048543689,0.06090361966193452,0.023848965317767083,0.011703740261571545,0.004270544783010157,0.0017848879487009982,0.0010537261698440208
main_kyc,"ADVANCED (0.06%), SUPREME (75.59%)","ADVANCED (7.21%), SUPREME (62.48%)","ADVANCED (36.92%), SUPREME (24.83%)","ADVANCED (37.51%), SUPREME (7.04%)","ADVANCED (30.54%), SUPREME (1.98%)","ADVANCED (24.83%), SUPREME (0.86%)","ADVANCED (16.69%), SUPREME (0.44%)","ADVANCED (21.78%), SUPREME (0.24%)","ADVANCED (8.50%), SUPREME (0.08%)","ADVANCED (6.15%), SUPREME (0.00%)"
main_lyl,"Bronze (86.86%), Diamond (0.74%), Gold (5.20%), Platinum (0.50%), Silver (6.69%)","Bronze (86.31%), Diamond (0.92%), Gold (4.53%), Platinum (1.62%), Silver (6.63%)","Bronze (94.76%), Diamond (0.34%), Gold (1.50%), Platinum (0.85%), Silver (2.57%)","Bronze (98.19%), Diamond (0.13%), Gold (0.42%), Platinum (0.22%), Silver (1.03%)","Bronze (98.95%), Diamond (0.02%), Gold (0.23%), Platinum (0.05%), Silver (0.75%)","Bronze (99.52%), Diamond (0.00%), Gold (0.10%), Platinum (0.01%), Silver (0.37%)","Bronze (99.65%), Diamond (0.00%), Gold (0.07%), Platinum (0.00%), Silver (0.28%)","Bronze (99.77%), Diamond (0.00%), Gold (0.03%), Platinum (0.00%), Silver (0.20%)","Bronze (99.90%), Diamond (0.00%), Gold (0.02%), Platinum (0.00%), Silver (0.08%)","Bronze (99.91%), Diamond (0.00%), Gold (0.01%), Platinum (0.00%), Silver (0.08%)"
