,SKU,price,category,brand
0,Axis 5000,5875,Pulsa,AXIS
1,Axis 10000,10825,Pulsa,AXIS
2,Axis 15.000,14900,Pulsa,AXIS
3,Axis 25.000,24900,Pulsa,AXIS
4,Axis 30.000,29900,Pulsa,AXIS
6,Axis 50.000,49700,Pulsa,AXIS
11,Axis 100.000,99500,Pulsa,AXIS
12,Axis 200.000,199000,Pulsa,AXIS
13,Axis 300.000,298750,Pulsa,AXIS
14,AXIS 500.000,498800,Pulsa,AXIS
21,AXIS 1.000.000,995000,Pulsa,AXIS
0,Indosat 5000,5760,Pulsa,INDOSAT
1,Indosat 10000,10690,Pulsa,INDOSAT
2,Indosat 12000,11990,Pulsa,INDOSAT
3,Indosat 15.000,15000,Pulsa,INDOSAT
4,Indosat 20.000,19730,Pulsa,INDOSAT
6,INDOSAT 25.000,24725,Pulsa,INDOSAT
12,Indosat 30.000,29430,Pulsa,INDOSAT
13,INDOSAT 50.000,48800,Pulsa,INDOSAT
20,Indosat 60.000,58750,Pulsa,INDOSAT
21,Indosat 80.000,78050,Pulsa,INDOSAT
22,INDOSAT 100.000,96700,Pulsa,INDOSAT
29,Indosat 125.000,123500,Pulsa,INDOSAT
30,INDOSAT 150.000,143900,Pulsa,INDOSAT
37,INDOSAT 200.000,187540,Pulsa,INDOSAT
38,INDOSAT 250.000,234900,Pulsa,INDOSAT
44,INDOSAT 500.000,469900,Pulsa,INDOSAT
45,INDOSAT 1.000.000,959900,Pulsa,INDOSAT
0,Smartfren 5.000,5200,Pulsa,SMARTFREN
1,Smartfren 10.000,10050,Pulsa,SMARTFREN
2,Smartfren 20.000,19825,Pulsa,SMARTFREN
3,Smartfren 25.000,24800,Pulsa,SMARTFREN
4,Smartfren 30.000,30000,Pulsa,SMARTFREN
5,Smartfren 50.000,49200,Pulsa,SMARTFREN
6,Smartfren 60.000,58850,Pulsa,SMARTFREN
11,Smartfren 75.000,74525,Pulsa,SMARTFREN
12,Smartfren 100.000,98200,Pulsa,SMARTFREN
13,Smartfren 150.000,147200,Pulsa,SMARTFREN
14,Smartfren 200.000,197000,Pulsa,SMARTFREN
20,Smartfren 300.000,294600,Pulsa,SMARTFREN
21,Smartfren 500.000,492200,Pulsa,SMARTFREN
22,Smartfren 1.000.000,984900,Pulsa,SMARTFREN
0,Telkomsel 1.000,1700,Pulsa,Telkomsel
1,Telkomsel 2.000,2800,Pulsa,Telkomsel
2,Telkomsel 3.000,4850,Pulsa,Telkomsel
3,Telkomsel 5000,5250,Pulsa,Telkomsel
4,Telkomsel 10000,10350,Pulsa,Telkomsel
6,Telkomsel 15.000,14900,Pulsa,Telkomsel
13,Telkomsel 20000,19890,Pulsa,Telkomsel
14,Telkomsel 25.000,24875,Pulsa,Telkomsel
19,Telkomsel 30.000,29875,Pulsa,Telkomsel
21,Telkomsel 35.000,34950,Pulsa,Telkomsel
22,Telkomsel 40.000,39800,Pulsa,Telkomsel
29,Telkomsel 45.000,44950,Pulsa,Telkomsel
31,Telkomsel 50.000,49705,Pulsa,Telkomsel
38,Telkomsel 55.000,54950,Pulsa,Telkomsel
39,Telkomsel 60.000,59950,Pulsa,Telkomsel
40,Telkomsel 65.000,64950,Pulsa,Telkomsel
47,Telkomsel 70.000,69900,Pulsa,Telkomsel
48,Telkomsel 75.000,74500,Pulsa,Telkomsel
57,Telkomsel 80.000,79900,Pulsa,Telkomsel
63,Telkomsel 85.000,84900,Pulsa,Telkomsel
64,Telkomsel 90.000,89900,Pulsa,Telkomsel
65,Telkomsel 95.000,94900,Pulsa,Telkomsel
71,Telkomsel 100.000,98500,Pulsa,Telkomsel
73,Telkomsel 150.000,149000,Pulsa,Telkomsel
79,Telkomsel 200.000,198100,Pulsa,Telkomsel
81,Telkomsel 300.000,298450,Pulsa,Telkomsel
87,Telkomsel 500.000,497250,Pulsa,Telkomsel
88,Telkomsel 1.000.000,995500,Pulsa,Telkomsel
0,Three 1.000,1350,Pulsa,three
1,Three 2.000,2325,Pulsa,three
2,Three 3.000,3350,Pulsa,three
3,Three 4.000,4389,Pulsa,three
4,Three 5.000,5570,Pulsa,three
5,Three 8.000,8575,Pulsa,three
6,Three 10.000,10425,Pulsa,three
12,Three 10.000 (test),10450,Pulsa,three
13,Three 15.000,14975,Pulsa,three
14,Three 20.000,19850,Pulsa,three
21,Three 25.000,24750,Pulsa,three
22,Three 30.000,29900,Pulsa,three
30,Three 40.000,40000,Pulsa,three
31,Three 50.000,49400,Pulsa,three
37,Three 60.000,60000,Pulsa,three
38,Three 70.000,70000,Pulsa,three
39,Three 75.000,74500,Pulsa,three
46,Three 80.000,80000,Pulsa,three
47,Three 90.000,90000,Pulsa,three
53,Three 100.000,98900,Pulsa,three
54,Three 125.000,124000,Pulsa,three
55,Three 150.000,148500,Pulsa,three
61,Three 200.000,197400,Pulsa,three
62,Three 250.000,246000,Pulsa,three
63,Three 300.000,297200,Pulsa,three
70,Three 500.000,495000,Pulsa,three
0,XL 5000,5900,Pulsa,XL
1,XL 10.000,10825,Pulsa,XL
2,XL 15.000,14975,Pulsa,XL
3,XL 25.000,24875,Pulsa,XL
4,XL 30.000,29900,Pulsa,XL
5,XL 50.000,49700,Pulsa,XL
6,XL 100.000,99500,Pulsa,XL
12,XL 150.000,149550,Pulsa,XL
13,XL 200.000,199000,Pulsa,XL
14,XL 300.000,298250,Pulsa,XL
20,XL 500.000,497600,Pulsa,XL
21,XL 1.000.000,995000,Pulsa,XL
0,BRONET 24 Jam 1GB 1 Hr + Bonus Lokal Kuota,5000,Paket Data,AXIS
1,"Paket KZL Chat (WhatsApp/LINE/BBM) Unlimited,  7hari",4725,Paket Data,AXIS
2,Paket KZL Games (AOV &amp; Free Fire) 500MB| 7 hari,4800,Paket Data,AXIS
3,"Paket KZL Games (Vainglory) 500MB,  7hari",4725,Paket Data,AXIS
4,"Paket KZL SocMed (FB/IG/Twitter) Unlimited,  7hari",4725,Paket Data,AXIS
5,"Paket KZL Combo SocMed + Chat Unlimited,  7 hari",6650,Paket Data,AXIS
6,Paket KANGEN 24Jam 30mnt 7hr,7900,Paket Data,AXIS
12,Paket KZL Games (AOV &amp; Free Fire) 1GB| 30 hari,9800,Paket Data,AXIS
13,"Paket KZL Games (Vainglory) 1GB,  30 hari",9725,Paket Data,AXIS
14,AIGO Bronet Mini 1GB 5hr,9950,Paket Data,AXIS
15,Bronet Mini 1GB 7 Hari,12250,Paket Data,AXIS
22,"Paket KZL Chat (WhatsApp/LINE/BBM) Unlimited,  30 hari",14500,Paket Data,AXIS
23,"Paket KZL SocMed (FB/IG/Twitter) Unlimited,  30 hari",14550,Paket Data,AXIS
30,Bronet Mini 1.5GB 7 Hari,14450,Paket Data,AXIS
31,AIGO Bronet 24Jam 1GB 30hr,15250,Paket Data,AXIS
32,AIGO Bronet Mini 2GB 7hr,17650,Paket Data,AXIS
39,Bronet Mini 2GB 7 Hari,17250,Paket Data,AXIS
40,"Paket KZL Combo SocMed + Chat Unlimited,  30 hari",19500,Paket Data,AXIS
47,AIGO Bronet Mini 3GB 15hr,21900,Paket Data,AXIS
48,BRONET 4G OWSEM 1GB + 1GB,23900,Paket Data,AXIS
54,BRONET 4G OWSEM 1GB + 1GB,22825,Paket Data,AXIS
55,Bronet Mini 3GB 7 Hari,19500,Paket Data,AXIS
56,AIGO Bronet 24Jam 2GB 30hr,24500,Paket Data,AXIS
62,Paket KANGEN 24Jam 100mnt 30hr,24500,Paket Data,AXIS
63,Bronet 24Jam 6GB Kuota Utama + 20GB Sosmed/Chat| 10hr,24500,Paket Data,AXIS
64,"BRONET 2GB,  60 hari",26450,Paket Data,AXIS
71,Bronet Mini 5GB 7 Hari,22750,Paket Data,AXIS
72,AIGO Bronet 24Jam 3GB 30hr,24950,Paket Data,AXIS
77,AIGO Bronet Mini 5GB 15hr,31750,Paket Data,AXIS
78,AIGO Bronet Mini 7GB 15hr,33500,Paket Data,AXIS
79,Bronet Mini 8GB 7 Hari,28500,Paket Data,AXIS
80,BRONET 4G OWSEM 1GB + 3GB,38900,Paket Data,AXIS
86,BRONET 4G OWSEM 1GB + 3GB,37135,Paket Data,AXIS
87,"BRONET 3GB,  60 hari",33521,Paket Data,AXIS
88,AXIS+ 24Jam 1GB 30hr| 6bln,34950,Paket Data,AXIS
94,OWSEM 16GB  Unlimited Games 30 hari,42000,Paket Data,AXIS
95,AIGO Bronet 24Jam 5GB 30hr,31900,Paket Data,AXIS
96,OWSEM 24GB  Unlimited Games 30 hari,53000,Paket Data,AXIS
97,"BRONET 5GB,  60 hari",49100,Paket Data,AXIS
103,BRONET 4G OWSEM 2GB + 6GB,52850,Paket Data,AXIS
104,BRONET 4G OWSEM 2GB + 6GB,61900,Paket Data,AXIS
105,AIGO Bronet 24Jam 12GB 30hr,61950,Paket Data,AXIS
111,AIGO Bronet 24Jam 8GB 30hr,45950,Paket Data,AXIS
112,OWSEM 32GB  Unlimited Games 30 hari,59950,Paket Data,AXIS
113,AXIS+ 24Jam 2GB 30hr| 6bln,69750,Paket Data,AXIS
119,BRONET 24Jam 8GB + Games 2GB 60hr,69475,Paket Data,AXIS
120,"BRONET 8GB,  60 hari",68911,Paket Data,AXIS
121,[EKSKLUSIF] BRONET 24 Jam 8GB 60 Hari + Sosmed 2GB 30 Hari,66975,Paket Data,AXIS
127,BRONET 4G OWSEM 3GB + 9GB,80900,Paket Data,AXIS
128,BRONET 4G OWSEM 3GB + 9GB,68050,Paket Data,AXIS
129,OWSEM 48GB  Unlimited Games 30 hari,74950,Paket Data,AXIS
135,AIGO Bronet 24Jam 22GB 30hr,81500,Paket Data,AXIS
136,AXIS+ 24Jam 1GB 30hr| 12bln,74800,Paket Data,AXIS
137,"BRONET 10GB,  60 hari",80494,Paket Data,AXIS
143,BRONET 24Jam 10GB + Games 2GB 60hr,79700,Paket Data,AXIS
144,[EKSKLUSIF] BRONET 24 Jam 10GB 60 Hari + Sosmed 2GB 30 Hari,78975,Paket Data,AXIS
145,AXIS+ 24Jam 3GB 30hr| 6bln,84750,Paket Data,AXIS
150,"BRONET 12GB,  60 hari",89880,Paket Data,AXIS
151,BRONET 24Jam 12GB + Games 2GB 60hr,89475,Paket Data,AXIS
152,[EKSKLUSIF] BRONET 24 Jam 12GB 60 Hari + Sosmed 2GB 30 Hari,89475,Paket Data,AXIS
153,OWSEM 80GB  Unlimited Games 30 hari,96000,Paket Data,AXIS
160,"BRONET 16GB,  60 hari",114700,Paket Data,AXIS
0,"Internet 1 GB,  1 hari",4500,Paket Data,INDOSAT
1,Indosat 100MB 30 hari,2775,Paket Data,INDOSAT
2,Freedom Apps EDU 2GB / 2 Hari,3750,Paket Data,INDOSAT
3,Internet 1 GB 3 hari,5500,Paket Data,INDOSAT
4,Indosat 200MB 30 hari,5500,Paket Data,INDOSAT
5,Yellow 1GB / 2 Hari,5450,Paket Data,INDOSAT
6,Yellow 1GB / 3 Hari,4940,Paket Data,INDOSAT
12,Data Kuota 500MB,6200,Paket Data,INDOSAT
13,Indosat 300MB 30 hari,5100,Paket Data,INDOSAT
14,"Internet 1 GB,  7 hari",9200,Paket Data,INDOSAT
21,Yellow 1GB / 7 Hari,10650,Paket Data,INDOSAT
22,Freedom Apps EDU 6GB / 7 Hari,9750,Paket Data,INDOSAT
23,Freedom Internet 2.5GB/5Hari,10950,Paket Data,INDOSAT
30,Indosat 500MB 30 hari,10100,Paket Data,INDOSAT
31,Paket Nelpon Obrol Sepuasnya ke Sesama / 30 Hari,9900,Paket Data,INDOSAT
36,Freedom Apps FUN 2GB / 7 Hari,11700,Paket Data,INDOSAT
37,Indosat 700MB 30 hari,11400,Paket Data,INDOSAT
38,Internet 1 GB 7 hari,11500,Paket Data,INDOSAT
39,Yellow 1GB / 15 Hari,13300,Paket Data,INDOSAT
45,Indosat 1GB 30 hari,12150,Paket Data,INDOSAT
46,Freedom Internet 5GB / 3 Hari,14300,Paket Data,INDOSAT
47,Freedom Apps EDU 10GB / 15 Hari,14650,Paket Data,INDOSAT
54,(closed) Freedom Internet 2GB / 30 Hari,16500,Paket Data,INDOSAT
55,Freedom Internet 5GB/5 Hari,14800,Paket Data,INDOSAT
56,Freedom U 1GB+2GB Apps / 7 Hari,14900,Paket Data,INDOSAT
64,Freedom Internet 2GB / 30 Hari,16500,Paket Data,INDOSAT
70,Kuota Apps Di Rumah Aja 5GB / 3 Hari,16745,Paket Data,INDOSAT
71,Freedom Kuota Harian 1GB/hari (Total 7GB) / 7 Hari ,19700,Paket Data,INDOSAT
72,Freedom Internet 3GB / 30 Hari + Bonus Kuota Zona Hingga 2GB,19900,Paket Data,INDOSAT
73,Freedom Internet 4GB / 30 Hari,19800,Paket Data,INDOSAT
80,Freedom Internet 7GB / 5 Hari,20450,Paket Data,INDOSAT
81,Freedom Internet 7GB/7 Hari,19850,Paket Data,INDOSAT
82,Freedom Combo 4GB / 30 Hari + Bonus 300MB,24450,Paket Data,INDOSAT
88,Freedom Apps EDU 30GB / 30 Hari,24600,Paket Data,INDOSAT
89,Freedom Apps FUN 6GB / 15 Hari,24600,Paket Data,INDOSAT
90,Freedom Internet 15GB/3 Hari,24900,Paket Data,INDOSAT
96,Freedom Internet 4GB / 30 Hari + BONUS 300MB ,24750,Paket Data,INDOSAT
97,Freedom U 1GB+4.5GB Apps / 30 Hari,24600,Paket Data,INDOSAT
98,Indosat 2GB 30 hari,24300,Paket Data,INDOSAT
104,Paket Nelpon Obrol Sepuasnya ke Sesama + 60 menit ke Semua / 30 Hari,24750,Paket Data,INDOSAT
105,Paket Nelpon Obrol Sepuasnya ke Sesama + 60 menit ke Semua / 30 Hari,25000,Paket Data,INDOSAT
106,(closed) Freedom U 5.5GB / 30 Hari,30950,Paket Data,INDOSAT
112,Kuota Apps Di Rumah Aja 10GB / 7 Hari,26550,Paket Data,INDOSAT
113,(closed) Freedom Combo 6 GB / 30 Hari,30600,Paket Data,INDOSAT
114,Freedom Internet 5GB / 30 Hari + Bonus Kuota Zona Hingga 4GB,29800,Paket Data,INDOSAT
120,Freedom Internet 6.5GB / 30 Hari,34650,Paket Data,INDOSAT
121,Freedom Combo 6GB / 30 Hari,31600,Paket Data,INDOSAT
122,Freedom U 5.5GB / 30 Hari,31600,Paket Data,INDOSAT
128,Freedom Combo 8GB / 30 Hari + Bonus 500MB,34550,Paket Data,INDOSAT
129,Indosat 3GB 30 hari,34900,Paket Data,INDOSAT
130,Paket Extra 2GB,35900,Paket Data,INDOSAT
135,(closed) Freedom Combo 10 GB / 30 Hari,40960,Paket Data,INDOSAT
136,Freedom U 2GB+7.5GB Apps / 30 Hari,39200,Paket Data,INDOSAT
137,Freedom Apps FUN 10GB / 30 Hari,39230,Paket Data,INDOSAT
138,Freedom Kuota Harian 1GB/hari (Total 14GB) / 14 Hari + BONUS 500MB ,39300,Paket Data,INDOSAT
144,Freedom Internet 10GB / 30 Hari,39200,Paket Data,INDOSAT
145,Freedom Combo 10GB / 30 Hari,42000,Paket Data,INDOSAT
146,(closed) Freedom U 10GB / 30 Hari,51250,Paket Data,INDOSAT
152,Freedom Internet Longlife 8GB / 60 Hari,47250,Paket Data,INDOSAT
153,Freedom Combo 14GB / 30 Hari + Bonus 1GB,48850,Paket Data,INDOSAT
154,Freedom Internet 3GB / 30 Hari + Vidio FIFA World Cup,47750,Paket Data,INDOSAT
160,Freedom Internet 10GB / 30 Hari + BONUS 1GB ,48500,Paket Data,INDOSAT
161,Freedom Internet 12GB / 30 Hari + Bonus Kuota Zona Hingga 8GB,51500,Paket Data,INDOSAT
162,Indosat 4GB 30 hari,45400,Paket Data,INDOSAT
167,Paket Nelpon Obrol Sepuasnya ke Sesama + 250 menit ke Semua / 30 Hari,48850,Paket Data,INDOSAT
168,Freedom U 10GB / 30 Hari,52250,Paket Data,INDOSAT
169,Freedom U 3GB+15GB Apps / 30 Hari,58800,Paket Data,INDOSAT
170,Paket Extra 4GB,51900,Paket Data,INDOSAT
175,Paket Nelpon Obrol Sepuasnya ke Sesama + 60 menit ke Semua / 30 Hari,55800,Paket Data,INDOSAT
176,Freedom Combo 20 GB / 30 Hari,62420,Paket Data,INDOSAT
177,Freedom Combo M 12GB / 30 Hari,64000,Paket Data,INDOSAT
178,Freedom Internet 18GB / 30 Hari,64500,Paket Data,INDOSAT
184,Indosat 5GB 30 hari,59900,Paket Data,INDOSAT
185,Freedom U 5GB+15GB Apps / 30 Hari,62900,Paket Data,INDOSAT
186,Freedom Combo 20GB / 30 Hari,63400,Paket Data,INDOSAT
187,Freedom U 20GB / 30 Hari,72170,Paket Data,INDOSAT
193,Freedom Internet Longlife 12GB / 90 Hari,67000,Paket Data,INDOSAT
194,Freedom Combo 20GB / 30 Hari + Bonus 3GB,68500,Paket Data,INDOSAT
195,Paket Extra 6GB,69400,Paket Data,INDOSAT
201,Freedom U 7GB+20GB Apps / 30 Hari,78400,Paket Data,INDOSAT
202,Freedom Kuota Harian 1GB/hari (Total 28GB) / 28 Hari + BONUS 3GB ,73300,Paket Data,INDOSAT
203,Freedom Internet 21GB / 30 Hari + BONUS 3GB ,74000,Paket Data,INDOSAT
209,Freedom U 20GB / 30 Hari,73150,Paket Data,INDOSAT
210,Freedom Combo 30 GB / 30 Hari,83870,Paket Data,INDOSAT
211,Freedom Kuota Harian 1GB/hari (Total 28GB) / 28 Hari,88300,Paket Data,INDOSAT
217,Freedom Internet 24GB / 30 Hari + Bonus Kuota Zona Hingga 16GB,82000,Paket Data,INDOSAT
218,Freedom Internet 28GB / 30 Hari,85800,Paket Data,INDOSAT
219,Freedom Combo 30GB / 30 Hari,84900,Paket Data,INDOSAT
225,Freedom U 35GB / 30 Hari,93650,Paket Data,INDOSAT
226,Freedom Internet Longlife 20GB / 60 Hari,89000,Paket Data,INDOSAT
227,Internet 12 GB 30 hari,89000,Paket Data,INDOSAT
233,Freedom Combo L 26GB / 30 Hari,94300,Paket Data,INDOSAT
234,Freedom U 10GB+25GB Apps / 30 Hari,97500,Paket Data,INDOSAT
235,Freedom U 35GB / 30 Hari,94600,Paket Data,INDOSAT
241,Freedom U 45GB / 30 Hari,105500,Paket Data,INDOSAT
242,Freedom Combo 30GB / 30 Hari + Bonus 5GB,98500,Paket Data,INDOSAT
243,Freedom Combo 40 GB / 30 Hari,105800,Paket Data,INDOSAT
249,Freedom Internet 32GB / 30 Hari + BONUS 5GB ,98500,Paket Data,INDOSAT
250,Freedom Internet 35GB / 30 Hari + Bonus Kuota Zona Hingga 25GB,102500,Paket Data,INDOSAT
251,Freedom Internet 44GB / 30 Hari,107300,Paket Data,INDOSAT
257,Freedom Internet 50GB / 30 Hari,121500,Paket Data,INDOSAT
258,"[EKSKLUSIF] Freedom 25GB, 30 hari",99000,Paket Data,INDOSAT
259,Freedom U 45GB / 30 Hari,106500,Paket Data,INDOSAT
266,Freedom U 15GB+25GB Apps / 30 Hari,123800,Paket Data,INDOSAT
267,Freedom Internet Hot Promo 100GB / 30 Hari,134100,Paket Data,INDOSAT
273,Freedom Internet Longlife 30GB / 90 Hari,123500,Paket Data,INDOSAT
274,Freedom Internet SENSASI 100GB / 30 Hari,125000,Paket Data,INDOSAT
275,Freedom XL 41GB / 30 Hari,148000,Paket Data,INDOSAT
281,Freedom Internet Longlife 36GB / 60 Hari,128500,Paket Data,INDOSAT
282,Freedom Combo 50GB / 30 Hari + Bonus 7GB,148000,Paket Data,INDOSAT
283,Freedom U Jumbo / 30 Hari,148800,Paket Data,INDOSAT
289,Freedom Combo 60 GB / 30 Hari,161000,Paket Data,INDOSAT
290,Freedom Internet 100GB / 30 Hari,147000,Paket Data,INDOSAT
291,Freedom XXL 65GB / 30 Hari,197400,Paket Data,INDOSAT
297,Freedom U Jumbo / 30 Hari,159750,Paket Data,INDOSAT
298,Freedom Internet Longlife 54GB / 90 Hari,178500,Paket Data,INDOSAT
299,Freedom Combo 50GB / 90 Hari,197500,Paket Data,INDOSAT
305,Freedom Internet 200GB / 30 Hari,200000,Paket Data,INDOSAT
306,Freedom Internet SENSASI 150GB / 30 Hari,214750,Paket Data,INDOSAT
307,Freedom U 3GB+15GB Apps / 6 Bulan ,248150,Paket Data,INDOSAT
313,Freedom Internet 100GB / 90 Hari,250000,Paket Data,INDOSAT
314,Freedom Internet SENSASI 200GB / 30 Hari,268750,Paket Data,INDOSAT
315,Freedom U 3GB+15GB Apps / 12 Bulan ,445100,Paket Data,INDOSAT
0,Internet Volume 4GB,10000,Paket Data,SMARTFREN
1,Internet Volume 6GB,19675,Paket Data,SMARTFREN
2,Unlimited 20.000,24950,Paket Data,SMARTFREN
3,Internet Volume 10GB,29650,Paket Data,SMARTFREN
4,Unlimited Nonstop 30RB,34750,Paket Data,SMARTFREN
5,Internet Volume 16GB,39600,Paket Data,SMARTFREN
6,Unlimited 40.000,44950,Paket Data,SMARTFREN
12,Vidio Platinum F1 All Screen 40K,39950,Paket Data,SMARTFREN
13,Kuota Nonstop 10GB,44500,Paket Data,SMARTFREN
14,Unlimited 60.000,64850,Paket Data,SMARTFREN
19,Unlimited Harian 500MB 28 Hari,48700,Paket Data,SMARTFREN
20,Vidio Diamond EPL Mobile 57K,56950,Paket Data,SMARTFREN
21,Internet Volume 30GB,58900,Paket Data,SMARTFREN
22,Kuota Nonstop 18GB,64000,Paket Data,SMARTFREN
28,Smartfren Super 4G Unlimited Bulanan,69400,Paket Data,SMARTFREN
29,Vidio FIFA World Cup QATAR 22 Mobile,66000,Paket Data,SMARTFREN
30,Smartfren Super 4G Unlimited Bulanan,69800,Paket Data,SMARTFREN
37,Smartfren Super 4G Unlimited Bulanan Auto,70000,Paket Data,SMARTFREN
38,Unlimited 80.000,78950,Paket Data,SMARTFREN
39,Plan Smartfren Kuota 2L,79800,Paket Data,SMARTFREN
46,UNS 45 K Vidio FIFA World Cup QATAR 22 Mobile,96500,Paket Data,SMARTFREN
47,Vidio FIFA World Cup QATAR 22 All screen,99950,Paket Data,SMARTFREN
52,Internet Volume 60GB,98100,Paket Data,SMARTFREN
53,Kuota Nonstop 30GB,98000,Paket Data,SMARTFREN
54,Unlimited 100.000,98500,Paket Data,SMARTFREN
55,Plan Smartfren Kuota 3L,113000,Paket Data,SMARTFREN
62,UNS 70 K Vidio FIFA World Cup QATAR 22 Mobile,119900,Paket Data,SMARTFREN
63,Plan Smartfren Kuota 4L,134000,Paket Data,SMARTFREN
64,UNS 100 K Vidio FIFA World Cup QATAR 22 Mobile,149900,Paket Data,SMARTFREN
70,Internet Volume 90GB,145000,Paket Data,SMARTFREN
71,Unlimited 150.000,148500,Paket Data,SMARTFREN
72,UNS 125 K Vidio FIFA World Cup QATAR 22 Mobile,179000,Paket Data,SMARTFREN
78,Internet Volume 120GB,193300,Paket Data,SMARTFREN
79,Unlimited 200.000,198000,Paket Data,SMARTFREN
80,Internet Volume 100GB,297900,Paket Data,SMARTFREN
86,Internet Volume 200GB,496264,Paket Data,SMARTFREN
87,Internet Volume 420GB,994531,Paket Data,SMARTFREN
0,Paket Internet OMG 100K (Zona),98100,Paket Data,Telkomsel
1,Paket Internet OMG 150K (Zona),147900,Paket Data,Telkomsel
2,Paket Internet OMG 200K (Zona),196000,Paket Data,Telkomsel
3,Paket Internet OMG 30K (Zona),29800,Paket Data,Telkomsel
4,Paket Internet OMG 50K (Zona),49800,Paket Data,Telkomsel
5,Paket Internet OMG 75K (Zona),73700,Paket Data,Telkomsel
6,Data 5.000,5900,Paket Data,Telkomsel
12,Data 50MB 7 hari,4900,Paket Data,Telkomsel
13,GamesMAX Ketengan Harian,5180,Paket Data,Telkomsel
14,Kuota Telpon 5 Rb (85 Menit Tsel + 15 Menit All 1Hari),6200,Paket Data,Telkomsel
21,Data 100MB 7 hari,7900,Paket Data,Telkomsel
22,Data 10.000,10500,Paket Data,Telkomsel
23,Data 250MB 7 hari,10000,Paket Data,Telkomsel
30,GamesMAX Ketengan Mingguan,10100,Paket Data,Telkomsel
31,Internet Harian 10K 1 Hari,10125,Paket Data,Telkomsel
37,Paket Telepon 200 Menit / 1 Hari (185 Tsel &amp; 15 All),11500,Paket Data,Telkomsel
38,Kuota Telpon 10 Rb (170 Menit Tsel + 50 Menit All 3Hari),13250,Paket Data,Telkomsel
39,Data 500MB 15 hari,14900,Paket Data,Telkomsel
46,GamesMAX Power Weekly FF,15100,Paket Data,Telkomsel
47,GamesMAX Power Weekly MLBB,15100,Paket Data,Telkomsel
53,Data 20.000,20000,Paket Data,Telkomsel
54,GamesMAX Ketengan Bulanan,19950,Paket Data,Telkomsel
55,Internet Harian 20K 1 Hari,20000,Paket Data,Telkomsel
61,MAXstream 4GB,20000,Paket Data,Telkomsel
62,Data 1GB 30 hari,22500,Paket Data,Telkomsel
69,Data 750MB 7 hari,19500,Paket Data,Telkomsel
70,"Data GameMAX 3GB, 25.000",24900,Paket Data,Telkomsel
71,GamesMAX Power Silver FF,24990,Paket Data,Telkomsel
76,GamesMAX Power Silver MLBB,24990,Paket Data,Telkomsel
77,Gigamax Fit,25000,Paket Data,Telkomsel
78,Internet Harian 25K 3 Hari,25150,Paket Data,Telkomsel
79,Kuota Telpon 20 Rb (350 Menit Tsel + 30 Menit All Opr 7 Hari),23750,Paket Data,Telkomsel
85,Paket MusicMAX Smule 25.000,24900,Paket Data,Telkomsel
86,Paket NEW MusicMAX 25.000,25200,Paket Data,Telkomsel
87,Telkomsel Data 25.000,24850,Paket Data,Telkomsel
88,Telkomsel Data MAXstream 50.000,49700,Paket Data,Telkomsel
95,Telkomsel Paket Bicara 25.000,24900,Paket Data,Telkomsel
96,Paket Telepon 400 Menit / 3 Hari (370 Tsel &amp; 30 All),27500,Paket Data,Telkomsel
97,Kuota Telpon 25 Rb (550 Menit Tsel + 50 Menit All Opr 7 Hari),28500,Paket Data,Telkomsel
104,Internet Mingguan 30K,29850,Paket Data,Telkomsel
105,Internet Harian 40K 3 Hari,39750,Paket Data,Telkomsel
110,Paket Telepon 600 Menit / 7 Hari (550 Tsel &amp; 50 All),38750,Paket Data,Telkomsel
111,Telkomsel Paket Bicara 40.000,39700,Paket Data,Telkomsel
112,Data 2GB 30 hari,45300,Paket Data,Telkomsel
120,Internet Mingguan 45K,44950,Paket Data,Telkomsel
121,Vidio FIFA World Cup Qatar 2022 Mobile 49rb,48750,Paket Data,Telkomsel
123,GamesMAX Power Gold FF,49800,Paket Data,Telkomsel
124,GamesMAX Power Gold MLBB,49800,Paket Data,Telkomsel
125,Gigamax Basic,49900,Paket Data,Telkomsel
126,Telkomsel Data 50.000,49650,Paket Data,Telkomsel
127,Paket Internet OMG 55K (Zona),55250,Paket Data,Telkomsel
128,Kuota Telpon 50 Rb (1000 Menit Tsel + 100 Menit All Opr 30 Hari ),57000,Paket Data,Telkomsel
129,Paket Telepon 1300 Menit / 15 Hari (1200 Tsel &amp; 100 All),59750,Paket Data,Telkomsel
136,Paket Internet Bulanan OMG + Vidio 65K,64750,Paket Data,Telkomsel
137,Up to 4.5GB + 2GB OMG,67600,Paket Data,Telkomsel
143,GamesMAX Power Diamond FF,74690,Paket Data,Telkomsel
144,GamesMAX Power Diamond MLBB,74690,Paket Data,Telkomsel
145,Paket Internet OMG 75K (Zona),74450,Paket Data,Telkomsel
152,Paket Telepon 2100 Menit / 30 Hari (2000 Tsel &amp; 100 All),79500,Paket Data,Telkomsel
153,Data 8GB,84700,Paket Data,Telkomsel
154,Paket Internet Bulanan OMG + Vidio 85K,84750,Paket Data,Telkomsel
161,Vidio FIFA World Cup Qatar 2022 88rb,87500,Paket Data,Telkomsel
162,Data 4GB 30 hari,91000,Paket Data,Telkomsel
168,Vidio FIFA World Cup Qatar 2022 98rb,97700,Paket Data,Telkomsel
169,Data 12GB,97500,Paket Data,Telkomsel
170,Internet Combo 10GB,97500,Paket Data,Telkomsel
