,SKU,price,note,category,brand
8,Paket Telepon 1300 Menit / 15 Hari (1200 Tsel &amp; 100 All),59500,Set harga,Paket Data,Telkomsel
4,Paket Internet Bulanan OMG + Vidio 65K,65750,Set harga,Paket Data,Telkomsel
5,Telkomsel Data Flash 4GB,69500,Set harga,Paket Data,Telkomsel
6,GamesMAX Power Diamond MLBB 30HARI ,74600,Set harga,Paket Data,Telkomsel
7,PAKET INTERNET BULANAN OMG! 75K,78000,Set harga,Paket Data,Telkomsel
8,Paket Internet Bulanan OMG + Vidio 85K,84690,Set harga,Paket Data,Telkomsel
5,PAKET BICARA SEMUA OPERATOR 30HARI,88750,Set harga,Paket Data,Telkomsel
6,Telkomsel Data Flash 5GB,88980,Set harga,Paket Data,Telkomsel
7,Paket Telpon (1.400-3.900 Menit On Net + 100 Menit Off Net) 30 Hari,94500,Set harga,Paket Data,Telkomsel
8,Telkomsel Data Flash 6GB,96000,Set harga,Paket Data,Telkomsel
9,Telkomsel Data Flash 7GB,96500,Set harga,Paket Data,Telkomsel
4,Telkomsel Data Flash 8GB,99000,Set harga,Paket Data,Telkomsel
5,NELPON SEMUA OPERATOR 250 MENIT + 2250 MENIT SESAMA 30HARI,100500,Set harga,Paket Data,Telkomsel
6,Telkomsel Data Flash 9GB,102500,Set harga,Paket Data,Telkomsel
7,"Kuota MaxStream 20GB + 4GB All network, 30 hari",104500,Set harga,Paket Data,Telkomsel
8,Telkomsel Data Flash 10GB,107500,Set harga,Paket Data,Telkomsel
9,Telkomsel Data Flash 11GB,111500,Set harga,Paket Data,Telkomsel
4,PAKET INTERNET BULANAN OMG! 110K,114500,Set harga,Paket Data,Telkomsel
5,Paket Bicara 2500 menit,115900,Set harga,Paket Data,Telkomsel
6,Paket Internet Bulanan OMG + Vidio 120K,119450,Set harga,Paket Data,Telkomsel
7,PAKET BICARA SESAMA TELKOMSEL 30HARI,123575,Set harga,Paket Data,Telkomsel
8,PAKET DATA ZOOM 30 HARI,132400,Set harga,Paket Data,Telkomsel
9,PAKET BICARA SEMUA OPERATOR 30HARI PLUS,140750,Set harga,Paket Data,Telkomsel
4,INTERNET ROAMAX QATAR 10GB 7HARI,142500,Set harga,Paket Data,Telkomsel
5,RoaMAX Internet Singapore,142500,Set harga,Paket Data,Telkomsel
6,RoaMAX Internet Malaysia,142500,Set harga,Paket Data,Telkomsel
7,Paket Telpon (4.700-10.200 Menit On Net + 200 Menit Off Net) 30 Hari,148000,Set harga,Paket Data,Telkomsel
8,"Internet Bulanan 25GB, 30 Hari",149500,Set harga,Paket Data,Telkomsel
6,"Kuota MaxStream 30GB + 10GB All network, 30 hari",158200,Set harga,Paket Data,Telkomsel
7,Telkomsel Data Flash 16GB,158500,Set harga,Paket Data,Telkomsel
8,Telkomsel Data Flash 25GB,162000,Set harga,Paket Data,Telkomsel
9,PAKET INTERNET BULANAN OMG! 160K,165750,Set harga,Paket Data,Telkomsel
5,Paket Internet Bulanan OMG + Vidio 170K,168700,Set harga,Paket Data,Telkomsel
6,Internet RoaMAX Hongkong,192500,Set harga,Paket Data,Telkomsel
7,"Internet Bulanan 75GB, 30 Hari",199500,Set harga,Paket Data,Telkomsel
8,PAKET INTERNET BULANAN OMG! 210K,217025,Set harga,Paket Data,Telkomsel
9,Paket Internet Bulanan OMG + Vidio 220K,217950,Set harga,Paket Data,Telkomsel
6,"Internet Bulanan 100GB, 30 Hari",249500,Set harga,Paket Data,Telkomsel
7,Telkomsel Data Flash 30GB,255000,Set harga,Paket Data,Telkomsel
8,Internet PROMO Umroh 12 days,274500,Set harga,Paket Data,Telkomsel
9,Telkomsel Data Flash 35GB,284000,Set harga,Paket Data,Telkomsel
10,INTERNET ROAMAX QATAR 20GB 30HARI,288000,Set harga,Paket Data,Telkomsel
7,Combo PROMO Umroh 12 days,339000,Set harga,Paket Data,Telkomsel
8,Internet RoaMAX Western 5GB 15 Hari,347000,Set harga,Paket Data,Telkomsel
9,Internet PROMO Umroh 17 Days,374000,Set harga,Paket Data,Telkomsel
10,RoaMAX Internet Asia Australia,392500,Set harga,Paket Data,Telkomsel
11,RoaMAX Internet Western,447000,Set harga,Paket Data,Telkomsel
6,"Internet Bulanan 200 GB*, 30 Hari",449500,Set harga,Paket Data,Telkomsel
7,Combo RoaMAX Western,498000,Set harga,Paket Data,Telkomsel
8,Internet RoaMAX Haji 20 hari,498000,Set harga,Paket Data,Telkomsel
9,Combo PROMO Umroh 17 days,548500,Set harga,Paket Data,Telkomsel
10,Internet RoaMAX Western 15GB 30 Hari,598000,Set harga,Paket Data,Telkomsel
5,Combo RoaMAX Haji 20 hari,608000,Set harga,Paket Data,Telkomsel
6,RoaMAX Internet Continent,648000,Set harga,Paket Data,Telkomsel
7,Combo RoaMAX Continent,698000,Set harga,Paket Data,Telkomsel
8,Internet RoaMAX Haji 30 hari,718000,Set harga,Paket Data,Telkomsel
9,Internet RoaMAX Western 20GB 30 Hari,723000,Set harga,Paket Data,Telkomsel
10,Combo RoaMAX Haji 30 hari,868000,Set harga,Paket Data,Telkomsel
11,Internet RoaMAX Haji 45 hari,878000,Set harga,Paket Data,Telkomsel
6,Combo RoaMAX Haji 45 hari,1048000,Set harga,Paket Data,Telkomsel
0,"Xtra Edukasi 2GB, 1hr",1938,Set harga,Paket Data,XL
1,XL Pure 100MB 14 Hari,2800,Set harga,Paket Data,XL
2,"Xtra Conference 2GB, 1hr",2938,Set harga,Paket Data,XL
3,"Xtra Edukasi 5GB, 3hr",3435,Set harga,Paket Data,XL
4,"Paket Blue 1GB, 2hr",4790,Set harga,Paket Data,XL
5,"Xtra Conference 5GB, 3hr",4938,Set harga,Paket Data,XL
6,KUOTA GAMES 1GB 30HR,5350,Set harga,Paket Data,XL
7,KUOTA GAMES + UTAMA 1GB 30HR,5850,Set harga,Paket Data,XL
8,Xtra Edukasi 15GB 7 Hari,8300,Set harga,Paket Data,XL
8,XL Pure 500MB 30 hari,9250,Set harga,Paket Data,XL
9,KUOTA GAMES 2GB 30HR,9450,Set harga,Paket Data,XL
10,"Paket Blue 3GB, 2hr",9500,Set harga,Paket Data,XL
11,KUOTA GAMES + UTAMA 2GB 30HR,9900,Set harga,Paket Data,XL
8,"AnyNet 350 Menit, 7 hari",11250,Set harga,Paket Data,XL
9,"AnyNet 400Mnt, 7hr",11750,Set harga,Paket Data,XL
10,"Xtra Conference 15GB, 7hr",11874,Set harga,Paket Data,XL
11,Xtra ON 1GB,13940,Set harga,Paket Data,XL
12,KUOTA GAMES + UTAMA 3GB 30HR,14500,Set harga,Paket Data,XL
6,"Xtra Hotrod Special S, 7hr",14750,Set harga,Paket Data,XL
7,XL Pure 800MB 30 hari,16500,Set harga,Paket Data,XL
8,"Xtra Hotrod Special M, 7hr",17750,Set harga,Paket Data,XL
9,XL Pure 1GB 30 hari,18000,Set harga,Paket Data,XL
10,"Xtra Hotrod Special 4.5GB, 7hr",20000,Set harga,Paket Data,XL
11,Xtra ON 2GB,22750,Set harga,Paket Data,XL
12,"Xtra Hotrod Special L, 7hr",23500,Set harga,Paket Data,XL
8,"XTRA Bicara Nelpon+Internet, 30hr",29400,Set harga,Paket Data,XL
