iter	Passed	Remaining
563	2580	1995
564	2584	1990
565	2588	1984
566	2593	1980
567	2597	1975
568	2601	1970
569	2605	1965
570	2610	1961
571	2613	1955
572	2617	1950
573	2620	1944
574	2624	1939
575	2627	1934
576	2630	1928
577	2634	1923
578	2637	1917
579	2641	1912
580	2644	1907
581	2647	1901
582	2650	1895
583	2653	1890
584	2657	1885
585	2661	1880
586	2665	1875
587	2669	1870
588	2672	1864
589	2676	1859
590	2679	1854
591	2683	1849
592	2686	1843
593	2690	1838
594	2694	1834
595	2696	1828
596	2700	1823
597	2703	1817
598	2707	1812
599	2709	1806
600	2712	1800
601	2715	1795
602	2719	1790
603	2722	1785
604	2725	1779
605	2729	1774
606	2733	1769
607	2736	1764
608	2741	1759
609	2744	1754
610	2747	1749
611	2750	1743
612	2753	1738
613	2755	1732
614	2759	1727
615	2762	1721
616	2765	1716
617	2769	1711
618	2772	1706
619	2776	1701
620	2779	1696
621	2783	1691
622	2787	1686
623	2790	1681
624	2793	1675
625	2795	1670
626	2799	1665
627	2803	1660
628	2806	1655
629	2810	1650
630	2813	1645
631	2816	1639
632	2819	1634
633	2822	1629
634	2826	1624
635	2830	1620
636	2834	1615
637	2838	1610
638	2841	1605
639	2844	1600
640	2847	1594
641	2852	1590
642	2855	1585
643	2859	1580
644	2863	1575
645	2866	1570
646	2869	1565
647	2874	1561
648	2877	1556
649	2880	1550
650	2883	1545
651	2885	1540
652	2888	1535
653	2891	1530
654	2894	1524
655	2898	1519
656	2901	1514
657	2905	1510
658	2909	1505
659	2913	1501
660	2917	1496
661	2920	1491
662	2923	1486
663	2928	1481
664	2931	1476
665	2934	1471
666	2937	1466
667	2940	1461
668	2945	1457
669	2949	1452
670	2952	1447
671	2957	1443
672	2961	1439
673	2964	1434
674	2968	1429
675	2972	1424
676	2976	1420
677	2979	1415
678	2983	1410
679	2986	1405
680	2990	1400
681	2994	1396
682	2999	1392
683	3003	1387
684	3007	1383
685	3010	1377
686	3016	1374
687	3019	1369
688	3024	1365
689	3027	1360
690	3031	1355
691	3034	1350
692	3040	1346
693	3043	1341
694	3046	1337
695	3051	1332
696	3056	1328
697	3059	1323
698	3063	1319
699	3071	1316
700	3076	1312
701	3081	1308
702	3086	1304
703	3091	1299
704	3097	1296
705	3106	1293
706	3109	1288
707	3116	1285
708	3120	1280
709	3123	1275
710	3127	1271
711	3132	1267
712	3136	1262
713	3139	1257
714	3142	1252
715	3148	1249
716	3153	1244
717	3157	1240
718	3162	1235
719	3166	1231
720	3169	1226
721	3172	1221
722	3175	1216
723	3178	1211
724	3183	1207
725	3187	1202
726	3190	1198
727	3195	1193
728	3198	1189
729	3204	1185
730	3207	1180
731	3213	1176
732	3216	1171
733	3220	1167
734	3224	1162
735	3230	1158
736	3235	1154
737	3239	1150
738	3243	1145
739	3247	1141
740	3252	1136
741	3254	1131
742	3258	1127
743	3261	1122
744	3265	1117
745	3269	1113
746	3272	1108
747	3276	1103
748	3280	1099
749	3285	1095
750	3287	1089
751	3290	1085
752	3293	1080
753	3298	1076
754	3302	1071
755	3305	1066
756	3309	1062
757	3314	1058
758	3317	1053
759	3321	1048
760	3324	1044
761	3329	1039
762	3332	1035
763	3336	1030
764	3338	1025
765	3344	1021
766	3347	1016
767	3351	1012
768	3354	1007
769	3359	1003
770	3363	999
771	3367	994
772	3370	989
773	3374	985
774	3379	981
775	3384	976
776	3387	972
777	3393	968
778	3396	963
779	3400	959
780	3403	954
781	3407	949
782	3409	944
783	3414	940
784	3420	936
785	3430	934
786	3435	929
787	3439	925
788	3445	921
789	3450	917
790	3461	914
791	3467	910
792	3470	905
793	3474	901
794	3477	896
795	3480	891
796	3483	887
797	3496	885
798	3500	880
799	3507	876
800	3513	872
801	3516	868
802	3518	863
803	3522	858
804	3527	854
805	3532	850
806	3535	845
807	3543	841
808	3546	837
809	3548	832
810	3553	828
811	3557	823
812	3561	819
813	3564	814
814	3569	810
815	3572	805
816	3578	801
817	3581	796
818	3586	792
819	3591	788
820	3594	783
821	3598	779
822	3604	775
823	3608	770
824	3611	766
825	3615	761
826	3618	756
827	3624	752
828	3627	748
829	3630	743
830	3634	739
831	3640	735
832	3644	730
833	3649	726
834	3653	722
835	3657	717
